outcome,stratifier,level,n,events,rate_per_100
preterm,diabetes,1.0,2830362,442600,15.637575688198188
preterm,diabetes,0.0,30619799,2965530,9.685008056388613
preterm,hypertension,1.0,3674623,832532,22.656256165598485
preterm,hypertension,Missing,34748,5772,16.611027972832968
preterm,hypertension,0.0,29775538,2575598,8.650046894198855
preterm,multiple,1,1092587,674562,61.73988890587203
preterm,multiple,0,32392322,2739340,8.45675712905052
lbw,race_eth,NH Black,4780504,684475,14.318050983745646
lbw,race_eth,NH Multiracial,774802,70449,9.0925165397095
lbw,race_eth,NH Asian,2130142,190382,8.937526230645657
lbw,race_eth,NH NHOPI,90464,7770,8.589051998585072
lbw,race_eth,NH AIAN,249550,20685,8.288920056100983
lbw,race_eth,Hispanic,8204742,626330,7.633756186361497
lbw,race_eth,NH White,17251745,1207671,7.00028315976152
lbw,education,Missing,500922,53449,10.67012429080775
lbw,education,Less than HS,3997540,394507,9.868744277730805
lbw,education,HS / GED,8644877,829141,9.591125472346222
lbw,education,Some college,6274844,549438,8.756201747804408
lbw,education,Associate,2756629,220276,7.9907742391159635
lbw,education,Graduate,4266937,291282,6.826489352901156
lbw,education,Bachelor's,7040200,469669,6.6712451350813895
lbw,pnc_timing,No PNC,640749,121953,19.03288183048276
lbw,pnc_timing,Missing,750391,107627,14.342789292515501
lbw,pnc_timing,2nd trimester,5360863,482542,9.001199993359279
lbw,pnc_timing,1st trimester,25250784,1990143,7.881509738469902
lbw,pnc_timing,3rd trimester,1479162,105497,7.1322140509288365
lbw,age_group,40+,1211445,136754,11.28850257337312
lbw,age_group,<20,1498298,155150,10.355082900731363
lbw,age_group,35-39,5226921,463393,8.86550609814076
lbw,age_group,20-24,6175368,539734,8.74011071081108
lbw,age_group,25-29,9481134,741554,7.821363984519151
lbw,age_group,30-34,9888783,771177,7.798502606438022
lbw,payment,Medicaid,13896813,1378662,9.920706279921879
lbw,payment,Missing,232350,20958,9.020012911555842
lbw,payment,Other,1177931,93178,7.910310536016117
lbw,payment,Private,16790056,1222037,7.278337844733811
lbw,payment,Self-pay,1384799,92927,6.710504556979028
lbw,tobacco,1.0,1709648,253799,14.845102617614854
lbw,tobacco,Missing,148083,19612,13.243924015585854
lbw,tobacco,0.0,31624218,2534351,8.013956266049014
lbw,obesity,Missing,758066,95179,12.555503082845028
lbw,obesity,1.0,9683327,842382,8.699303452212241
lbw,obesity,0.0,23040556,1870201,8.116995961382182
lbw,diabetes,Missing,37959,4999,13.169472325403724
lbw,diabetes,1.0,2829589,274502,9.70112620596136
lbw,diabetes,0.0,30614401,2528261,8.258404271898053
lbw,hypertension,1.0,3673739,675793,18.395237114013817
lbw,hypertension,Missing,37959,4999,13.169472325403724
lbw,hypertension,0.0,29770251,2126970,7.144615609723949
lbw,multiple,1,1090344,617450,56.62891711239755
lbw,multiple,0,32391605,2190312,6.761974283151452
cesarean,race_eth,NH Black,4783237,1742113,36.4212143366511
cesarean,race_eth,NH Asian,2130519,709877,33.319440004994085
cesarean,race_eth,NH NHOPI,90476,28749,31.775277421636677
cesarean,race_eth,Hispanic,8205120,2600892,31.698402948402947
cesarean,race_eth,NH White,17253516,5334070,30.915843472136345
cesarean,race_eth,NH Multiracial,774995,234160,30.214388479925677
cesarean,race_eth,NH AIAN,249649,72222,28.929416901329468
cesarean,education,Associate,2757151,940923,34.12664014411978
cesarean,education,Graduate,4267753,1441454,33.77547857151058
cesarean,education,Some college,6276606,2064445,32.891103886399755
cesarean,education,Bachelor's,7041539,2285362,32.455433393182936
cesarean,education,Missing,499734,159885,31.994020819075747
cesarean,education,HS / GED,8647325,2698252,31.20331431974628
cesarean,education,Less than HS,3997404,1131762,28.312424763671622
cesarean,pnc_timing,1st trimester,25255832,8209541,32.5055258524051
